案類,發生日期,發生地點
搶奪,0930812 1300,台中市南區民意街道路上
搶奪,0930812 1355,台中市南屯區大墩12街與大英街口
搶奪,0930812 1540,台中市南屯區寶山一街152號
搶奪,0930813 1244,台中市北區五權.育才北路
搶奪,0930814 1900,台中市西區五權西二街
搶奪,0930815 0000,台中市北區漢口路4段460號
搶奪,0930815 0745,台中市西屯區西屯路漢口路口
搶奪,0930815 1100,台中市西區博館中興路
搶奪,0930816 0200,台中市東區復興路南京東路口
搶奪,0930816 1250,台中市北屯區北屯路370號
搶奪,0930816 1300,台中市西區貴和路
搶奪,0930816 1900,台中市北屯區大連路2段91號
搶奪,0930817 2205,台中市西區忠明南路
搶奪,0930818 1130,台中市中區民權路86號
搶奪,0930818 1800,台中市北區大雅.武昌街口
搶奪,0930819 1905,台中市西屯區精明二街34號
搶奪,0930820 2240,台中市北屯區瀋陽北路10號
搶奪,0930821 1140,台中市西區存中路6號
搶奪,0930821 1500,台中市西區向上北路284巷8號
搶奪,0930821 1530,台中市西區五權西路
搶奪,0930821 1600,台中市南屯區精誠南路豐樂公園
搶奪,0930821 1850,台中市西屯區西屯路2段259號之3
搶奪,0930822 0010,台中市西屯區重慶路成都路口
搶奪,0930822 0025,台中市中區民族路247號
搶奪,0930822 0100,台中市南屯區河南路與向上路口
搶奪,0930822 0550,台中市西屯區大鵬里三和一巷1弄13號
搶奪,0930822 0830,台中市北屯區益華街
搶奪,0930822 1530,台中市西區大隆精誠路
搶奪,0930822 1530,台中市西區館前路26號
搶奪,0930823 0930,台中市北屯區中清路新平巷口弄
搶奪,0930823 1015,台中市中區中山路199號
搶奪,0930823 1115,台中市東區建國路230號前樓
搶奪,0930823 1200,台中市西區向上北路220號
搶奪,0930823 1430,台中市北屯區南京東路3段155號
搶奪,0930823 1450,台中市南屯區東興路與大墩十二街
搶奪,0930823 1510,台中市西屯區天水中街75號對面
搶奪,0930823 1550,台中市北區五順街50號
搶奪,0930823 1615,台中市西區英才昇平路
搶奪,0930823 1620,台中市北屯區遼寧路松明街口
